btc_return,current_token_price,eth_return,month,name,token/btc_return,token/eth_return,token_return,token_sale_price,usd_raised
0.83x,0.121,1.51x,Dec 2017,Vezt,0.30x,0.16x,0.25x,0.492,1380644.0
2.59x,0.119,2.66x,Sep 2017,Ethbet,0.26x,0.26x,0.68x,0.176,1321550.0
5.42x,1.309,7.60x,May 2017,Ethbits,0.25x,0.18x,1.36x,0.963,1259488.96
4.23x,0.256,3.63x,Jul 2017,Gene-Chain,2.32x,2.70x,9.81x,0.026,1254594.83
3.28x,2.821,3.44x,Jul 2017,FundYourselfNow,0.53x,0.51x,1.75x,1.612,1176702.98
1.56x,0.178,2.34x,Oct 2017,Flypme,1.76x,1.18x,2.75x,0.065,1140421.81
4.12x,0.0,3.04x,May 2017,Adel,,,,0.047,1094622.06
7.98x,0.667,44.37x,Feb 2017,Augmentors,5.47x,0.98x,43.65x,0.015,1069525.0
2.79x,0.051,2.61x,Aug 2017,Monsterbyte,0.18x,0.19x,0.50x,0.102,1033340.32
16.46x,0.306,58.55x,Sep 2016,Incent,0.43x,0.12x,7.03x,0.043,1000000.0
14.16x,14.472,48.99x,Jun 2016,Plutus,0.87x,0.25x,12.30x,1.176,1000000.0
1.42x,0.289,2.08x,Nov 2017,Publica,2.85x,1.95x,4.05x,0.071,1000000.0
7.16x,0.361,10.01x,Apr 2017,Back to Earth,0.20x,0.15x,1.46x,0.247,988110.39
12.24x,3.297,85.71x,Dec 2016,Ark,27.06x,3.86x,331.20x,0.01,942593.13
4.06x,0.0,3.86x,May 2017,E4ROW,,,,0.157,829700.0
3.47x,27.93,1.77x,Jun 2017,Minexcoin,1.28x,2.51x,4.43x,6.309,785705.55
8.07x,21.963,14.76x,Apr 2017,Particl,4.68x,2.56x,37.77x,0.582,688848.6
15.53x,0.088,59.90x,Sep 2016,BlockPay,0.05x,0.01x,0.71x,0.124,675000.0
3.29x,0.015,2.65x,Jun 2017,Voise,5.47x,6.77x,17.98x,0.001,646519.0
11.29x,0.0,88.75x,Dec 2016,Virtual Accelerator,,,,0.04,645000.0
14.45x,5.816,58.55x,Jul 2016,Stratis,56.25x,13.89x,812.97x,0.007,600944.55
2.28x,0.103,2.43x,Sep 2017,Prospectors,0.39x,0.37x,0.89x,0.116,579232.5
5.21x,3.758,7.73x,May 2017,Peerplays,1.37x,0.92x,7.14x,0.526,500000.0
12.17x,0.106,94.35x,Dec 2016,Golos,0.51x,0.07x,6.24x,0.017,462000.0
20.41x,0.895,,Aug 2014,Storj-x,4.86x,0.00x,99.22x,0.009,461802.0
3.28x,0.022,3.44x,Jul 2017,Rustbits,0.33x,0.31x,1.08x,0.021,428396.91
9.00x,1.969,55.36x,Feb 2017,Etheroll,3.23x,0.53x,29.13x,0.068,304295.41
6.63x,0.281,9.20x,May 2017,Creativechain,1.13x,0.81x,7.49x,0.038,298331.0
3.80x,0.049,2.57x,Jun 2017,Octanox,0.17x,0.26x,0.66x,0.074,297414.0
2.59x,0.035,2.80x,Sep 2017,Trackr,0.28x,0.26x,0.72x,0.049,292938.02
4.74x,0.017,5.42x,May 2017,Cryptoforecast,0.65x,0.57x,3.08x,0.005,249000.0
2.26x,7.894,2.35x,Sep 2017,Internxt,5.43x,5.22x,12.25x,0.644,209405.0
40.90x,0.4,552.76x,Sep 2015,Bitcrystals (Spells of Genesis),0.66x,0.05x,27.06x,0.015,200000.0
12.63x,0.187,81.72x,Nov 2016,Beyond the Void,3.70x,0.57x,46.69x,0.004,115500.0
11.33x,2.886,72.82x,Jan 2017,Tokes,2.03x,0.32x,23.05x,0.125,81099.98
7.98x,0.026,45.58x,Feb 2017,Procommerce,0.12x,0.02x,0.94x,0.027,77000.0
2.18x,0.013,2.34x,Aug 2017,Bolenum,0.01x,0.01x,0.02x,0.724,18606.2
10.34x,0.569,68.22x,Jan 2017,Spectrecoin,67.78x,10.27x,700.68x,0.001,15426.5
